frame,d,s,s_gaze,s_dist,s_loc
184,1.490627727732007,0.0,0.6,0.0,0.25
185,1.3673714028067079,0.0,0.6,0.0,0.25
186,1.6131070230384608,0.01922819391653833,0.6,0.0452428092153843,0.25
187,1.7173763831985116,0.03695398514374697,0.6,0.08695055327940464,0.25
188,1.9257301654707677,0.06927790874478856,0.5636363636363636,0.17029206618830708,0.25
189,2.6049561207738474,0.16574341811607712,0.5,0.441982448309539,0.25
190,3.0430797288422977,0.23146195932634464,0.5,0.617231891536919,0.25
191,3.281276902790005,0.2671915354185007,0.5,0.712510761116002,0.25
192,3.4558367968481862,0.30404372023730897,0.5272727272727272,0.7823347187392745,0.25
193,3.8624227948075793,0.3586587333935143,0.509090909090909,0.9449691179230317,0.25
194,3.7382237172623975,0.3520115482603589,0.5363636363636364,0.895289486904959,0.25
195,3.9110544114553543,0.37042563230541353,0.5181818181818182,0.9644217645821417,0.25
196,3.9294096264472036,0.38207987761396933,0.5363636363636364,0.9717638505788815,0.25
197,4.186425727814721,0.3840909090909091,0.5181818181818182,1.0,0.25
198,4.3001893611136754,0.3795454545454545,0.509090909090909,1.0,0.25
199,4.314627381100752,0.36136363636363633,0.4727272727272727,1.0,0.25
200,4.3103173959490695,0.3568181818181818,0.4636363636363636,1.0,0.25
201,4.314363037788433,0.3522727272727273,0.45454545454545453,1.0,0.25
202,4.314063477652516,0.3522727272727273,0.45454545454545453,1.0,0.25
203,4.311665220504354,0.3522727272727273,0.45454545454545453,1.0,0.25
